epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2567,1.13661,1.2952,1.36712,0.19513,0.28358,0.12657,0.055,1.92996,8.299,2.06316,0.0701523,0.00331641,0.00331641
2,82.8466,1.12844,0.9252,1.34222,0.75101,0.82143,0.8613,0.55239,1.20649,1.49817,1.51413,0.04007,0.00656746,0.00656746
3,122.796,1.01679,0.79892,1.26373,0.82618,0.93363,0.92723,0.66954,0.97473,1.61009,1.32677,0.0099052,0.009736,0.009736
4,162.562,0.90214,0.70435,1.19687,0.87479,0.91964,0.93198,0.71437,0.89641,0.68285,1.25431,0.00962875,0.00962875,0.00962875
5,202.564,0.82322,0.64746,1.14818,0.92815,0.88393,0.95839,0.77641,0.75512,1.10201,1.14155,0.009505,0.009505,0.009505
6,242.348,0.79822,0.59677,1.1247,0.96432,0.96519,0.9921,0.84049,0.64775,0.56714,1.06939,0.00938125,0.00938125,0.00938125
7,282.145,0.7659,0.57888,1.11104,0.95557,0.98214,0.98928,0.83613,0.66312,0.48515,1.06061,0.0092575,0.0092575,0.0092575
8,321.851,0.76106,0.55945,1.10559,0.93916,0.96478,0.98334,0.82088,0.70366,0.54476,1.06945,0.00913375,0.00913375,0.00913375
9,361.456,0.74105,0.53778,1.10293,0.98708,0.96429,0.99257,0.84451,0.6158,0.42557,1.02319,0.00901,0.00901,0.00901
10,401.172,0.71653,0.51934,1.07462,1,0.98891,0.995,0.84,0.67155,0.46246,1.11519,0.00888625,0.00888625,0.00888625
11,440.896,0.68188,0.49426,1.05875,0.96517,0.98957,0.99421,0.85364,0.61665,0.42847,1.01515,0.0087625,0.0087625,0.0087625
12,480.527,0.66622,0.479,1.0524,0.95629,0.97665,0.9913,0.8442,0.62338,0.45413,1.02006,0.00863875,0.00863875,0.00863875
13,520.166,0.68109,0.48793,1.05874,0.94171,1,0.99148,0.82882,0.64455,0.44842,1.03975,0.008515,0.008515,0.008515
14,561.174,0.66336,0.46986,1.04804,0.93749,0.99107,0.974,0.85066,0.56761,0.42293,0.99087,0.00839125,0.00839125,0.00839125
15,602.106,0.64878,0.45356,1.03858,0.95725,0.99952,0.99117,0.85797,0.56603,0.36963,0.99326,0.0082675,0.0082675,0.0082675
16,644.359,0.63039,0.44794,1.02552,1,0.96119,0.99413,0.86329,0.56593,0.36555,0.97741,0.00814375,0.00814375,0.00814375
17,686.681,0.61273,0.42494,1.01839,0.99096,0.97866,0.99212,0.8552,0.56007,0.35873,0.98667,0.00802,0.00802,0.00802
